neg,neu,pos,compound
0.031,0.802,0.167,0.7269
0.103,0.854,0.043,-0.858
0.08,0.791,0.129,0.872
0.165,0.787,0.048,-0.765
0.0,0.719,0.281,0.9824
0.054,0.822,0.124,0.9197
0.041,0.931,0.028,-0.3561
0.052,0.685,0.263,0.9594
0.162,0.795,0.043,-0.9562
0.055,0.789,0.156,0.7742
0.052,0.914,0.034,-0.3164
0.153,0.791,0.056,-0.9811
0.017,0.775,0.208,0.9552
0.042,0.908,0.05,-0.0258
0.055,0.902,0.043,-0.2978
0.033,0.929,0.038,0.3585
0.144,0.789,0.067,-0.8092
0.071,0.902,0.027,-0.926
0.166,0.561,0.273,0.8187
0.073,0.854,0.074,0.024
0.036,0.836,0.127,0.6971
0.028,0.749,0.224,0.9957
0.154,0.792,0.054,-0.9122
0.144,0.799,0.057,-0.9565
0.026,0.918,0.056,0.8102
0.059,0.78,0.16,0.7184
0.027,0.973,0.0,-0.3839
0.083,0.859,0.059,-0.1215
0.156,0.782,0.062,-0.6648
0.082,0.89,0.027,-0.6083
0.142,0.781,0.077,-0.7929
0.092,0.874,0.033,-0.9091
0.189,0.811,0.0,-0.765
0.074,0.821,0.105,0.4178
0.078,0.836,0.086,0.8271
0.008,0.947,0.045,0.6428
0.118,0.8,0.082,-0.3479
0.096,0.766,0.138,0.7347
0.083,0.865,0.052,-0.5482
0.073,0.835,0.092,0.8047
0.056,0.91,0.034,-0.3984
0.045,0.829,0.126,0.963
0.091,0.858,0.051,-0.6844
0.128,0.748,0.124,-0.08
0.112,0.83,0.058,-0.5983
0.074,0.768,0.158,0.9879
0.122,0.824,0.054,-0.8301
0.173,0.804,0.023,-0.9593
0.0,0.805,0.195,0.743
0.025,0.74,0.235,0.9902
0.098,0.56,0.343,0.9324
0.015,0.863,0.121,0.98
0.128,0.738,0.135,0.4505
0.143,0.806,0.05,-0.9656
0.156,0.74,0.105,-0.7236
0.179,0.783,0.038,-0.8889
0.158,0.797,0.045,-0.9678
0.093,0.816,0.09,-0.1154
0.028,0.972,0.0,-0.2405
0.167,0.776,0.057,-0.8811
0.048,0.861,0.09,0.8203
0.072,0.874,0.055,0.1989
0.091,0.864,0.045,-0.8674
0.056,0.918,0.025,-0.6139
0.14,0.813,0.047,-0.5267
0.179,0.767,0.054,-0.7778
0.024,0.731,0.245,0.9699
0.08,0.828,0.092,0.3182
0.032,0.901,0.066,0.9054
0.0,0.63,0.37,0.9402
0.069,0.91,0.021,-0.854
0.054,0.865,0.082,0.8399
0.016,0.588,0.395,0.9889
0.025,0.867,0.108,0.9381
0.0,0.808,0.192,0.9847
0.164,0.836,0.0,-0.9762
0.076,0.856,0.068,-0.5902
0.159,0.841,0.0,-0.8657
0.209,0.724,0.067,-0.8858
0.048,0.778,0.174,0.8085
0.052,0.859,0.088,0.7404
0.039,0.909,0.052,0.5239
0.037,0.789,0.174,0.9197
0.115,0.825,0.059,-0.9092
